Gene;Accession;Protein Name;Protein_Description
CD9;P21926;CD9_HUMAN;CD9 antigen
CD63;P08962;CD63_HUMAN;CD63 antigen
SDCBP;O00560;SDCB1_HUMAN;Syntenin-1
CD81;P60033;CD81_HUMAN;CD81 antigen
TSG101;Q99816;TS101_HUMAN;Tumor susceptibility gene 101 protein
PDCD6IP;Q8WUM4;PDC6I_HUMAN;Programmed cell death 6-interacting protein
FLOT1;O75955;FLOT1_HUMAN;Flotillin-1
GAG-EGFP;O00001;GageGFP_HUMAN
