Subcellular.Location	Entry	Gene.Name	Protein.Names
TM.protein	Q9NR71	ASAH2	ASAH2_HUMAN
TM.protein	P98073	TMPRSS15	ENTK_HUMAN
TM.protein	Q7Z7M9	GALNT5	GALT5_HUMAN
TM.protein	Q9UBX8	B4GALT6	B4GT6_HUMAN
TM.protein	O75503	CLN5	CLN5_HUMAN
TM.protein	Q6Q4G3	LVRN	AMPQ_HUMAN
TM.protein	O43286	B4GALT5	B4GT5_HUMAN
TM.protein	Q9UQQ1	NAALADL1	NALDL_HUMAN
TM.protein	Q92186	ST8SIA2	SIA8B_HUMAN
TM.protein	Q9NY47	CACNA2D2	CA2D2_HUMAN
TM.protein	P36269	GGT5	GGT5_HUMAN
TM.protein	Q9H3Q3	GAL3ST2	G3ST2_HUMAN
TM.protein	Q8IZP7	HS6ST3	H6ST3_HUMAN
TM.protein	O95803	NDST3	NDST3_HUMAN
TM.protein	Q495T6	MMEL1	MMEL1_HUMAN
TM.protein	O75752	B3GALNT1	B3GL1_HUMAN
TM.protein	Q9Y2A9	B3GNT3	B3GN3_HUMAN
TM.protein	Q92611	EDEM1	EDEM1_HUMAN
TM.protein	Q6UWV6	ENPP7	ENPP7_HUMAN
TM.protein	Q9H3R1	NDST4	NDST4_HUMAN
TM.protein	Q92187	ST8SIA4	SIA8D_HUMAN
TM.protein	P61647	ST8SIA6	SIA8F_HUMAN
TM.protein	P23510	TNFSF4	TNFL4_HUMAN
TM.protein	Q8NFL0	B3GNT7	B3GN7_HUMAN
TM.protein	P28907	CD38	CD38_HUMAN
TM.protein	O43916	CHST1	CHST1_HUMAN
TM.protein	Q9NPF2	CHST11	CHSTB_HUMAN
TM.protein	Q9UNA3	A4GNT	A4GCT_HUMAN
TM.protein	Q70JA7	CHSY3	CHSS3_HUMAN
TM.protein	O60512	B4GALT3	B4GT3_HUMAN
TM.protein	Q9GZX3	CHST6	CHST6_HUMAN
TM.protein	Q9H2A9	CHST8	CHST8_HUMAN
TM.protein	Q09327	MGAT3	MGAT3_HUMAN
TM.protein	Q96A11	GAL3ST3	G3ST3_HUMAN
TM.protein	Q9Y278	HS3ST2	HS3S2_HUMAN
TM.protein	Q14494	NFE2L1	NF2L1_HUMAN
TM.protein	O75900	MMP23B	MMP23_HUMAN
TM.protein	A6NG13	MGAT4D	MGT4D_HUMAN
TM.protein	O95461	LARGE1	LARG1_HUMAN
TM.protein	Q11201	ST3GAL1	SIA4A_HUMAN
TM.protein	Q68CQ1	MROH7	MROH7_HUMAN
TM.protein	Q14162	SCARF1	SREC_HUMAN
TM.protein	Q00973	B4GALNT1	B4GN1_HUMAN
TM.protein	Q9Y2C3	B3GALT5	B3GT5_HUMAN
TM.protein	Q6ZMB0	B3GNT6	B3GN6_HUMAN
TM.protein	Q8NCG5	CHST4	CHST4_HUMAN
TM.protein	Q8WXI8	CLEC4D	CLC4D_HUMAN
TM.protein	Q9NS84	CHST7	CHST7_HUMAN
TM.protein	Q86SR1	GALNT10	GLT10_HUMAN
TM.protein	O94923	GLCE	GLCE_HUMAN
TM.protein	Q92478	CLEC2B	CLC2B_HUMAN
TM.protein	P28845	HSD11B1	DHI1_HUMAN
TM.protein	P09172	DBH	DOPO_HUMAN
TM.protein	Q9NY28	GALNT8	GALT8_HUMAN
TM.protein	Q6IS24	GALNT17	GLT17_HUMAN
TM.protein	Q4G148	GXYLT1	GXLT1_HUMAN
TM.protein	Q8N3Y3	LARGE2	LARG2_HUMAN
TM.protein	Q8IUC8	GALNT13	GLT13_HUMAN
TM.protein	O95502	NPTXR	NPTXR_HUMAN
TM.protein	Q8NBJ4	GOLM1	GOLM1_HUMAN
TM.protein	Q9UJ37	ST6GALNAC2	SIA7B_HUMAN
TM.protein	Q2TBF2	WSCD2	WSCD2_HUMAN
TM.protein	Q9NST1	PNPLA3	PLPL3_HUMAN
TM.protein	Q9BVH7	ST6GALNAC5	SIA7E_HUMAN
TM.protein	O60507	TPST1	TPST1_HUMAN
TM.protein	O60704	TPST2	TPST2_HUMAN
TM.protein	P22760	AADAC	AAAD_HUMAN
TM.protein	Q8NCR0	B3GALNT2	B3GL2_HUMAN
TM.protein	Q6P4F1	FUT10	FUT10_HUMAN
TM.protein	O60513	B4GALT4	B4GT4_HUMAN
TM.protein	Q8N6G5	CSGALNACT2	CGAT2_HUMAN
TM.protein	Q9Y5Z6	B3GALT1	B3GT1_HUMAN
TM.protein	O43505	B4GAT1	B4GA1_HUMAN
TM.protein	Q8IZ52	CHPF	CHSS2_HUMAN
TM.protein	Q6ZNI0	GCNT7	GCNT7_HUMAN
TM.protein	Q8TDX6	CSGALNACT1	CGAT1_HUMAN
TM.protein	Q9P2E5	CHPF2	CHPF2_HUMAN
TM.protein	Q9P109	GCNT4	GCNT4_HUMAN
TM.protein	Q11130	FUT7	FUT7_HUMAN
TM.protein	A0PJZ3	GXYLT2	GXLT2_HUMAN
TM.protein	O00587	MFNG	MFNG_HUMAN
TM.protein	Q9BVA6	FICD	FICD_HUMAN
TM.protein	Q99999	GAL3ST1	G3ST1_HUMAN
TM.protein	Q495W5	FUT11	FUT11_HUMAN
TM.protein	Q9Y662	HS3ST3B1	HS3SB_HUMAN
TM.protein	Q10469	MGAT2	MGAT2_HUMAN
TM.protein	Q02742	GCNT1	GCNT1_HUMAN
TM.protein	O60243	HS6ST1	H6ST1_HUMAN
TM.protein	Q7LGA3	HS2ST1	HS2ST_HUMAN
TM.protein	Q8NCL4	GALNT6	GALT6_HUMAN
TM.protein	Q9UQ53	MGAT4B	MGT4B_HUMAN
TM.protein	Q8N3T1	GALNT15	GLT15_HUMAN
TM.protein	Q49A17	GALNTL6	GLTL6_HUMAN
TM.protein	Q9Y663	HS3ST3A1	HS3SA_HUMAN
TM.protein	Q8TE99	PXYLP1	PXYP1_HUMAN
TM.protein	Q658N2	WSCD1	WSCD1_HUMAN
TM.protein	A6NFA1	TRABD2B	TIKI2_HUMAN
TM.protein	Q9UNG2	TNFSF18	TNF18_HUMAN
TM.protein	Q8NAT1	POMGNT2	PMGT2_HUMAN
TM.protein	P05187	ALPP	PPB1_HUMAN
TM.protein	Q5EB52	MEST	MEST_HUMAN
TM.protein	Q8WUH6	TMEM263	TM263_HUMAN
TM.protein	A1KXE4	FAM168B	F168B_HUMAN
TM.protein	Q92781	RDH5	RDH5_HUMAN
TM.protein	Q8NBZ7	UXS1	UXS1_HUMAN
TM.protein	Q96AD5	PNPLA2	PLPL2_HUMAN
TM.protein	P61009	SPCS3	SPCS3_HUMAN
TM.protein	O75063	FAM20B	XYLK_HUMAN
TM.protein	Q7Z7M8	B3GNT8	B3GN8_HUMAN
TM.protein	Q5VTT2	C9orf135	CFA95_HUMAN
TM.protein	Q9C0J1	B3GNT4	B3GN4_HUMAN
TM.protein	Q76KP1	B4GALNT4	B4GN4_HUMAN
TM.protein	Q8N4A0	GALNT4	GALT4_HUMAN
TM.protein	Q5VTJ3	KLHDC7A	KLD7A_HUMAN
TM.protein	Q96L58	B3GALT6	B3GT6_HUMAN
TM.protein	O94766	B3GAT3	B3GA3_HUMAN
TM.protein	Q6Y288	B3GLCT	B3GLT_HUMAN
TM.protein	Q9BYG0	B3GNT5	B3GN5_HUMAN
TM.protein	Q9UBV7	B4GALT7	B4GT7_HUMAN
TM.protein	O94905	ERLIN2	ERLN2_HUMAN
TM.protein	Q9UBQ6	EXTL2	EXTL2_HUMAN
TM.protein	Q8N539	FIBCD1	FBCD1_HUMAN
TM.protein	Q8N5D6	GBGT1	GBGT1_HUMAN
TM.protein	O96024	B3GALT4	B3GT4_HUMAN
TM.protein	Q8NET6	CHST13	CHSTD_HUMAN
TM.protein	O75072	FKTN	FKTN_HUMAN
TM.protein	Q5H943	CT83	KKLC1_HUMAN
TM.protein	Q92935	EXTL1	EXTL1_HUMAN
TM.protein	Q9H1C3	GLT8D2	GL8D2_HUMAN
TM.protein	O75477	ERLIN1	ERLN1_HUMAN
TM.protein	Q96QI5	HS3ST6	HS3S6_HUMAN
TM.protein	Q8IZT8	HS3ST5	HS3S5_HUMAN
TM.protein	Q8NES3	LFNG	LFNG_HUMAN
TM.protein	Q9H741	SPRING1	SPRNG_HUMAN
TM.protein	Q06643	LTB	TNFC_HUMAN
TM.protein	Q9Y644	RFNG	RFNG_HUMAN
TM.protein	Q7Z4J2	GLT6D1	GL6D1_HUMAN
TM.protein	O00299	CLIC1	CLIC1_HUMAN
TM.protein	Q9Y277	VDAC3	VDAC3_HUMAN
TM.protein	P21796	VDAC1	VDAC1_HUMAN
TM.protein	P45880	VDAC2	VDAC2_HUMAN
TM.protein	O95847	SLC25A27	UCP4_HUMAN
TM.protein	P53007	SLC25A1	TXTP_HUMAN
TM.protein	Q6KCM7	SLC25A25	SCMC2_HUMAN
TM.protein	P55916	UCP3	UCP3_HUMAN
TM.protein	Q9BQT8	SLC25A21	ODC_HUMAN
TM.protein	P55851	UCP2	UCP2_HUMAN
TM.protein	O75746	SLC25A12	S2512_HUMAN
TM.protein	Q9UJS0	SLC25A13	S2513_HUMAN
TM.protein	Q5SVS4	SLC25A30	KMCP1_HUMAN
TM.protein	Q8N8R3	SLC25A29	S2529_HUMAN
TM.protein	Q9NYZ2	SLC25A37	MFRN1_HUMAN
TM.protein	Q96A46	SLC25A28	MFRN2_HUMAN
TM.protein	Q9H2D1	SLC25A32	S2532_HUMAN
TM.protein	Q6NUK1	SLC25A24	SCMC1_HUMAN
TM.protein	Q8N5S1	SLC25A41	S2541_HUMAN
TM.protein	Q8N2C7	UNC80	UNC80_HUMAN
TM.protein	Q96QA5	GSDMA	GSDMA_HUMAN
TM.protein	Q8IVP5	FUNDC1	FUND1_HUMAN
TM.protein	Q96BM0	IFI27L1	I27L1_HUMAN
TM.protein	Q9BVI4	NOC4L	NOC4L_HUMAN
TM.protein	Q6P9B9	INTS5	INT5_HUMAN
TM.protein	Q9NYR8	RDH8	RDH8_HUMAN
TM.protein	Q9H2X8	IFI27L2	I27L2_HUMAN
TM.protein	P62952	BLCAP	BLCAP_HUMAN
TM.protein	Q6UXV4	APOOL	MIC27_HUMAN
TM.protein	Q96DC7	TMCO6	TMCO6_HUMAN
TM.protein	Q9P2P1	NYNRIN	NYNRI_HUMAN
TM.protein	Q9HBL7	PLGRKT	PLRKT_HUMAN
TM.protein	Q8IV45	UNC5CL	UN5CL_HUMAN
TM.protein	O60313	OPA1	OPA1_HUMAN
TM.protein	A0A0B4J2F0	PIGBOS1	PIOS1_HUMAN
TM.protein	O15162	PLSCR1	PLS1_HUMAN
TM.protein	Q8N9R8	SCAI	SCAI_HUMAN
TM.protein	Q4KMG9	TMEM52B	TM52B_HUMAN
TM.protein	Q66K14	TBC1D9B	TBC9B_HUMAN
TM.protein	P41273	TNFSF9	TNFL9_HUMAN
TM.protein	O00559	EBAG9	RCAS1_HUMAN
TM.protein	Q9Y2B1	RXYLT1	RXLT1_HUMAN
TM.protein	Q9BR10	SPATA25	SPT25_HUMAN
TM.protein	Q9H7Z7	PTGES2	PGES2_HUMAN
TM.protein	Q8NEN9	PDZD8	PDZD8_HUMAN
TM.protein	Q7Z3B0	SMIM15	SIM15_HUMAN
TM.protein	A6NLE4	SMIM23	SIM23_HUMAN
TM.protein	A0A1B0GVT2	SMIM36	SIM36_HUMAN
TM.protein	Q4W5P6	SMIM43	SIM43_HUMAN
TM.protein	P49788	RARRES1	TIG1_HUMAN
TM.protein	P0DJ07	PET100	PT100_HUMAN
TM.protein	Q8WWU5	TCP11	TCP11_HUMAN
TM.protein	Q86YA3	ZGRF1	ZGRF1_HUMAN
TM.protein	Q9NXS2	QPCTL	QPCTL_HUMAN
TM.protein	Q8TC12	RDH11	RDH11_HUMAN
TM.protein	Q96DA6	DNAJC19	TIM14_HUMAN
TM.protein	P47985	UQCRFS1	UCRI_HUMAN
TM.protein	Q8NBI6	XXYLT1	XXLT1_HUMAN
TM.protein	Q9BSF4	TIMM29	TIM29_HUMAN
TM.protein	Q8N9M5	TMEM102	TM102_HUMAN
TM.protein	Q9Y6I9	TEX264	TX264_HUMAN
TM.protein	A0A1B0GVQ0	SPAAR	SPAR_HUMAN
TM.protein	A6NLU5	VSTM2B	VTM2B_HUMAN
TM.protein	A6QL63	BTBD11	ABTB3_HUMAN
TM.protein	Q5TH69	ARFGEF3	BIG3_HUMAN
TM.protein	Q8TCP9	FAM200A	F200A_HUMAN
TM.protein	Q07812	BAX	BAX_HUMAN
TM.protein	Q9NWS6	FAM118A	F118A_HUMAN
TM.protein	A0A1B0GTK4	FAM237A	F237A_HUMAN
TM.protein	O95833	CLIC3	CLIC3_HUMAN
TM.protein	Q9H7X2	C1orf115	RDD1_HUMAN
TM.protein	Q8NI60	COQ8A	COQ8A_HUMAN
TM.protein	Q9H1C7	CYSTM1	CYTM1_HUMAN
TM.protein	Q7Z5J8	ANKAR	ANKAR_HUMAN
TM.protein	P21964	COMT	COMT_HUMAN
TM.protein	Q02221	COX6A2	CX6A2_HUMAN
TM.protein	Q0P6D2	DIPK1C	DIK1C_HUMAN
TM.protein	Q4G0N0	GGTA1	GGTA1_HUMAN
TM.protein	Q5H9R4	ARMCX4	ARMX4_HUMAN
TM.protein	Q6L9W6	B4GALNT3	B4GN3_HUMAN
TM.protein	Q86WR0	CCDC25	CCD25_HUMAN
TM.protein	Q5T2E6	ARMH3	ARMD3_HUMAN
TM.protein	Q6UX72	B3GNT9	B3GN9_HUMAN
TM.protein	Q8ND61	C3orf20	CC020_HUMAN
TM.protein	Q6ZU64	CFAP65	CFA65_HUMAN
TM.protein	Q9NSK7	C19orf12	CS012_HUMAN
TM.protein	Q96NY7	CLIC6	CLIC6_HUMAN
TM.protein	P22680	CYP7A1	CP7A1_HUMAN
TM.protein	Q9Y6A2	CYP46A1	CP46A_HUMAN
TM.protein	Q10471	GALNT2	GALT2_HUMAN
TM.protein	Q9NS00	C1GALT1	C1GLT_HUMAN
TM.protein	Q8TEF2	C10orf105	CJ105_HUMAN
TM.protein	Q8IUS5	EPHX4	EPHX4_HUMAN
TM.protein	Q9NVM1	EVA1B	EVA1B_HUMAN
TM.protein	Q8N292	GAPT	GAPT_HUMAN
TM.protein	Q15053	KIAA0040	K0040_HUMAN
TM.protein	O15247	CLIC2	CLIC2_HUMAN
TM.protein	Q9NVI7	ATAD3A	ATD3A_HUMAN
TM.protein	Q9Y426	C2CD2	C2CD2_HUMAN
TM.protein	Q86Y22	COL23A1	CONA1_HUMAN
TM.protein	Q96D53	COQ8B	COQ8B_HUMAN
TM.protein	Q9GZY6	LAT2	NTAL_HUMAN
TM.protein	Q86VU5	COMTD1	CMTD1_HUMAN
TM.protein	Q9Y696	CLIC4	CLIC4_HUMAN
TM.protein	Q9P0S2	COX16	COX16_HUMAN
TM.protein	Q6GMR7	FAAH2	FAAH2_HUMAN
TM.protein	Q16891	IMMT	MIC60_HUMAN
TM.protein	P07099	EPHX1	HYEP_HUMAN
TM.protein	Q3KP22	MAJIN	MAJIN_HUMAN
TM.protein	Q5VT66	MTARC1	MARC1_HUMAN
TM.protein	Q86XA0	METTL23	MET23_HUMAN
TM.protein	Q9HBI6	CYP4F11	CP4FB_HUMAN
TM.protein	Q08477	CYP4F3	CP4F3_HUMAN
TM.protein	B2RTY4	MYO9A	MYO9A_HUMAN
TM.protein	Q9NZA1	CLIC5	CLIC5_HUMAN
TM.protein	Q8WW52	FAM151A	F151A_HUMAN
TM.protein	Q96CU9	FOXRED1	FXRD1_HUMAN
TM.protein	Q86SF2	GALNT7	GALT7_HUMAN
TM.protein	Q6P4E1	GOLM2	GOLM2_HUMAN
TM.protein	C9JVW0	INAFM1	INAM1_HUMAN
TM.protein	Q5XKP0	MICOS13	MIC13_HUMAN
TM.protein	Q8IXK2	GALNT12	GLT12_HUMAN
TM.protein	Q8N428	GALNT16	GLT16_HUMAN
TM.protein	Q9BPX6	MICU1	MICU1_HUMAN
TM.protein	Q9H6B9	EPHX3	EPHX3_HUMAN
TM.protein	Q8TED1	GPX8	GPX8_HUMAN
TM.protein	Q6UXD1	HRCT1	HRCT1_HUMAN
TM.protein	Q96HS1	PGAM5	PGAM5_HUMAN
TM.protein	Q9Y2B2	PIGL	PIGL_HUMAN
TM.protein	Q14761	PTPRCAP	PTCA_HUMAN
TM.protein	Q96DL1	NXPE2	NXPE2_HUMAN
TM.protein	Q96HA1	POM121	P121A_HUMAN
TM.protein	A8CG34	POM121C	P121C_HUMAN
TM.protein	Q9NRY7	PLSCR2	PLS2_HUMAN
TM.protein	Q9H400	LIME1	LIME1_HUMAN
TM.protein	O14949	UQCRQ	QCR8_HUMAN
TM.protein	Q5TGI0	FAXC	FAXC_HUMAN
TM.protein	P60602	ROMO1	ROMO1_HUMAN
TM.protein	Q9NXH8	TOR4A	TOR4A_HUMAN
TM.protein	Q5VSG8	MANEAL	MANEL_HUMAN
TM.protein	Q9BQI7	PSD2	PSD2_HUMAN
TM.protein	Q8IV01	SYT12	SYT12_HUMAN
TM.protein	E0CX11	STMP1	STMP1_HUMAN
TM.protein	Q9BRQ8	AIFM2	FSP1_HUMAN
TM.protein	Q9C091	GREB1L	GRB1L_HUMAN
TM.protein	A0A1B0GTQ4	MYMX	MYMX_HUMAN
TM.protein	Q8TB68	PRR7	PRR7_HUMAN
TM.protein	Q8N4H5	TOMM5	TOM5_HUMAN
TM.protein	Q147U7	SMCO1	SMCO1_HUMAN
TM.protein	O95210	STBD1	STBD1_HUMAN
TM.protein	Q9BXM7	PINK1	PINK1_HUMAN
TM.protein	Q9BT88	SYT11	SYT11_HUMAN
TM.protein	Q7L8C5	SYT13	SYT13_HUMAN
TM.protein	Q9H2B2	SYT4	SYT4_HUMAN
TM.protein	Q9UHQ9	CYB5R1	NB5R1_HUMAN
TM.protein	Q9NWQ8	PAG1	PHAG1_HUMAN
TM.protein	O14638	ENPP3	ENPP3_HUMAN
TM.protein	P27487	DPP4	DPP4_HUMAN
TM.protein	Q16853	AOC3	AOC3_HUMAN
TM.protein	Q12884	FAP	SEPR_HUMAN
TM.protein	Q9NZ08	ERAP1	ERAP1_HUMAN
TM.protein	Q6P179	ERAP2	ERAP2_HUMAN
TM.protein	Q6ZMI3	GLDN	GLDN_HUMAN
TM.protein	Q9H1B5	XYLT2	XYLT2_HUMAN
TM.protein	Q86Y38	XYLT1	XYLT1_HUMAN
TM.protein	Q9P2W7	B3GAT1	B3GA1_HUMAN
TM.protein	Q86X52	CHSY1	CHSS1_HUMAN
TM.protein	P02748	C9	CO9_HUMAN
TM.protein	O95150	TNFSF15	TNF15_HUMAN
TM.protein	P15907	ST6GAL1	SIAT1_HUMAN
TM.protein	P07306	ASGR1	ASGR1_HUMAN
TM.protein	Q9UM21	MGAT4A	MGT4A_HUMAN
TM.protein	A0A1B0GVY4	SMIM31	SIM31_HUMAN
TM.protein	P01375	TNF	TNFA_HUMAN
TM.protein	O43508	TNFSF12	TNF12_HUMAN
TM.protein	Q5SZI1	LDLRAD2	LRAD2_HUMAN
TM.protein	Q6P1S2	C3orf33	CC033_HUMAN
TM.protein	P84157	MXRA7	MXRA7_HUMAN
TM.protein	Q8WXI7	MUC16	MUC16_HUMAN
TM.protein	O75445	USH2A	USH2A_HUMAN
TM.protein	P08F94	PKHD1	PKHD1_HUMAN
TM.protein	P98161	PKD1	PKD1_HUMAN
TM.protein	Q07954	LRP1	LRP1_HUMAN
TM.protein	P46531	NOTCH1	NOTC1_HUMAN
TM.protein	Q9NZR2	LRP1B	LRP1B_HUMAN
TM.protein	Q7Z407	CSMD3	CSMD3_HUMAN
TM.protein	Q9H251	CDH23	CAD23_HUMAN
TM.protein	Q96PZ7	CSMD1	CSMD1_HUMAN
TM.protein	P98164	LRP2	LRP2_HUMAN
TM.protein	Q6V0I7	FAT4	FAT4_HUMAN
TM.protein	Q9NYQ8	FAT2	FAT2_HUMAN
TM.protein	Q86UK0	ABCA12	ABCAC_HUMAN
TM.protein	Q7Z408	CSMD2	CSMD2_HUMAN
TM.protein	Q12913	PTPRJ	PTPRJ_HUMAN
TM.protein	P08922	ROS1	ROS1_HUMAN
TM.protein	Q9NY15	STAB1	STAB1_HUMAN
TM.protein	Q8WWQ8	STAB2	STAB2_HUMAN
TM.protein	Q92673	SORL1	SORL_HUMAN
TM.protein	Q9HCU0	CD248	CD248_HUMAN
TM.protein	O75882	ATRN	ATRN_HUMAN
TM.protein	P23467	PTPRB	PTPRB_HUMAN
TM.protein	P16150	SPN	LEUK_HUMAN
TM.protein	P13473	LAMP2	LAMP2_HUMAN
TM.protein	Q8TDW7	FAT3	FAT3_HUMAN
TM.protein	P56199	ITGA1	ITA1_HUMAN
TM.protein	Q9BZC7	ABCA2	ABCA2_HUMAN
TM.protein	Q86SQ4	ADGRG6	AGRG6_HUMAN
TM.protein	Q6UXG3	CD300LG	CLM9_HUMAN
TM.protein	P23471	PTPRZ1	PTPRZ_HUMAN
TM.protein	Q9BYE9	CDHR2	CDHR2_HUMAN
TM.protein	P11279	LAMP1	LAMP1_HUMAN
TM.protein	Q86YL7	PDPN	PDPN_HUMAN
TM.protein	Q6V1P9	DCHS2	PCD23_HUMAN
TM.protein	P82279	CRB1	CRUM1_HUMAN
TM.protein	Q14517	FAT1	FAT1_HUMAN
TM.protein	O95477	ABCA1	ABCA1_HUMAN
TM.protein	Q8IZP9	ADGRG2	AGRG2_HUMAN
TM.protein	Q8IZF2	ADGRF5	AGRF5_HUMAN
TM.protein	Q9NR97	TLR8	TLR8_HUMAN
TM.protein	P15529	CD46	MCP_HUMAN
TM.protein	Q8TDX9	PKD1L1	PK1L1_HUMAN
TM.protein	Q9NYQ6	CELSR1	CELR1_HUMAN
TM.protein	P17927	CR1	CR1_HUMAN
TM.protein	P13688	CEACAM1	CEAM1_HUMAN
TM.protein	O43451	MGAM	MGA_HUMAN
TM.protein	Q8TD84	DSCAML1	DSCL1_HUMAN
TM.protein	P32004	L1CAM	L1CAM_HUMAN
TM.protein	O15118	NPC1	NPC1_HUMAN
TM.protein	Q5T601	ADGRF1	AGRF1_HUMAN
TM.protein	Q9Y5Q5	CORIN	CORIN_HUMAN
TM.protein	P11215	ITGAM	ITAM_HUMAN
TM.protein	P42702	LIFR	LIFR_HUMAN
TM.protein	Q7Z5N4	SDK1	SDK1_HUMAN
TM.protein	Q92823	NRCAM	NRCAM_HUMAN
TM.protein	P14410	SI	SUIS_HUMAN
TM.protein	P35968	KDR	VGFR2_HUMAN
TM.protein	O60469	DSCAM	DSCAM_HUMAN
TM.protein	P06213	INSR	INSR_HUMAN
TM.protein	P11717	IGF2R	MPRI_HUMAN
TM.protein	P48357	LEPR	LEPR_HUMAN
TM.protein	Q9Y4D7	PLXND1	PLXD1_HUMAN
TM.protein	Q9NTG1	PKDREJ	PKDRE_HUMAN
TM.protein	Q9HCU4	CELSR2	CELR2_HUMAN
TM.protein	P78357	CNTNAP1	CNTP1_HUMAN
TM.protein	Q9NR16	CD163L1	C163B_HUMAN
TM.protein	Q86XX4	FRAS1	FRAS1_HUMAN
TM.protein	Q9UIQ6	LNPEP	LCAP_HUMAN
TM.protein	P02724	GYPA	GLPA_HUMAN
TM.protein	P08575	PTPRC	PTPRC_HUMAN
TM.protein	Q9P273	TENM3	TEN3_HUMAN
TM.protein	O94911	ABCA8	ABCA8_HUMAN
TM.protein	Q96RV3	PCNX1	PCX1_HUMAN
TM.protein	O60486	PLXNC1	PLXC1_HUMAN
TM.protein	P08069	IGF1R	IGF1R_HUMAN
TM.protein	Q6UVK1	CSPG4	CSPG4_HUMAN
TM.protein	P54289	CACNA2D1	CA2D1_HUMAN
TM.protein	Q9UM73	ALK	ALK_HUMAN
TM.protein	Q9UKX5	ITGA11	ITA11_HUMAN
TM.protein	Q92542	NCSTN	NICA_HUMAN
TM.protein	P53708	ITGA8	ITA8_HUMAN
TM.protein	Q9NYQ7	CELSR3	CELR3_HUMAN
TM.protein	P12821	ACE	ACE_HUMAN
TM.protein	O15455	TLR3	TLR3_HUMAN
TM.protein	O75976	CPD	CBPD_HUMAN
TM.protein	P04921	GYPC	GLPC_HUMAN
TM.protein	P32942	ICAM3	ICAM3_HUMAN
TM.protein	Q16827	PTPRO	PTPRO_HUMAN
TM.protein	Q9NT68	TENM2	TEN2_HUMAN
TM.protein	P40200	CD96	TACT_HUMAN
TM.protein	Q14524	SCN5A	SCN5A_HUMAN
TM.protein	Q8N6C5	IGSF1	IGSF1_HUMAN
TM.protein	Q9UPZ6	THSD7A	THS7A_HUMAN
TM.protein	Q9UKN1	MUC12	MUC12_HUMAN
TM.protein	Q9NYK1	TLR7	TLR7_HUMAN
TM.protein	Q07075	ENPEP	AMPE_HUMAN
TM.protein	Q5IJ48	CRB2	CRUM2_HUMAN
TM.protein	Q14118	DAG1	DAG1_HUMAN
TM.protein	Q9UMF0	ICAM5	ICAM5_HUMAN
TM.protein	O60449	LY75	LY75_HUMAN
TM.protein	P26006	ITGA3	ITA3_HUMAN
TM.protein	Q12866	MERTK	MERTK_HUMAN
TM.protein	P08648	ITGA5	ITA5_HUMAN
TM.protein	Q96JQ0	DCHS1	PCD16_HUMAN
TM.protein	Q9BZZ2	SIGLEC1	SN_HUMAN
TM.protein	Q9HC56	PCDH9	PCDH9_HUMAN
TM.protein	Q8IWK6	ADGRA3	AGRA3_HUMAN
TM.protein	O60242	ADGRB3	AGRB3_HUMAN
TM.protein	Q8IZF3	ADGRF4	AGRF4_HUMAN
TM.protein	P17948	FLT1	VGFR1_HUMAN
TM.protein	P00533	EGFR	EGFR_HUMAN
TM.protein	Q9NR96	TLR9	TLR9_HUMAN
TM.protein	Q9UKZ4	TENM1	TEN1_HUMAN
TM.protein	Q685J3	MUC17	MUC17_HUMAN
TM.protein	Q96QU1	PCDH15	PCD15_HUMAN
TM.protein	O15031	PLXNB2	PLXB2_HUMAN
TM.protein	P12830	CDH1	CADH1_HUMAN
TM.protein	Q16288	NTRK3	NTRK3_HUMAN
TM.protein	P04629	NTRK1	NTRK1_HUMAN
TM.protein	P06756	ITGAV	ITAV_HUMAN
TM.protein	Q6P1J6	PLB1	PLB1_HUMAN
TM.protein	P05556	ITGB1	ITB1_HUMAN
TM.protein	Q14246	ADGRE1	AGRE1_HUMAN
TM.protein	Q05586	GRIN1	NMDZ1_HUMAN
TM.protein	P35916	FLT4	VGFR3_HUMAN
TM.protein	Q16820	MEP1B	MEP1B_HUMAN
TM.protein	Q92824	PCSK5	PCSK5_HUMAN
TM.protein	P07949	RET	RET_HUMAN
TM.protein	Q9UKU6	TRHDE	TRHDE_HUMAN
TM.protein	Q8TB96	ITFG1	TIP_HUMAN
TM.protein	Q14956	GPNMB	GPNMB_HUMAN
TM.protein	Q902F9	HERVK_113	EN113_HUMAN
TM.protein	Q9Y3Q7	ADAM18	ADA18_HUMAN
TM.protein	P16109	SELP	LYAM3_HUMAN
TM.protein	Q9UHC6	CNTNAP2	CNTP2_HUMAN
TM.protein	Q9C0A0	CNTNAP4	CNTP4_HUMAN
TM.protein	P17181	IFNAR1	INAR1_HUMAN
TM.protein	P20701	ITGAL	ITAL_HUMAN
TM.protein	Q8TEM1	NUP210	PO210_HUMAN
TM.protein	Q6UXM1	LRIG3	LRIG3_HUMAN
TM.protein	O94898	LRIG2	LRIG2_HUMAN
TM.protein	P28827	PTPRM	PTPRM_HUMAN
TM.protein	Q15262	PTPRK	PTPRK_HUMAN
TM.protein	Q9BYH1	SEZ6L	SE6L1_HUMAN
TM.protein	Q6N022	TENM4	TEN4_HUMAN
TM.protein	P35499	SCN4A	SCN4A_HUMAN
TM.protein	A6NKB5	PCNX2	PCX2_HUMAN
TM.protein	Q9UHC9	NPC1L1	NPCL1_HUMAN
TM.protein	Q2M3G0	ABCB5	ABCB5_HUMAN
TM.protein	P41180	CASR	CASR_HUMAN
TM.protein	Q16478	GRIK5	GRIK5_HUMAN
