Subcellular.Location	Entry	Gene.Name	Protein.Names
TM.protein	P0DMT0	MRLN	MLN_HUMAN
TM.protein	Q96D59	RNF183	RN183_HUMAN
TM.protein	Q6UXN7	TOMM20L	TO20L_HUMAN
TM.protein	Q15836	VAMP3	VAMP3_HUMAN
TM.protein	P39656	DDOST	OST48_HUMAN
TM.protein	Q8N5Y8	PARP16	PAR16_HUMAN
TM.protein	Q8N4L4	SPEM1	SPEM1_HUMAN
TM.protein	Q9UDW1	UQCR10	QCR9_HUMAN
TM.protein	O60894	RAMP1	RAMP1_HUMAN
TM.protein	Q5JTH9	RRP12	RRP12_HUMAN
TM.protein	O14668	PRRG1	TMG1_HUMAN
TM.protein	P51571	SSR4	SSRD_HUMAN
TM.protein	Q9BZ97	TTTY13	TTY13_HUMAN
TM.protein	E7ERA6	RNF223	RN223_HUMAN
TM.protein	Q9P2E9	RRBP1	RRBP1_HUMAN
TM.protein	Q8N9F0	NAT8L	NAT8L_HUMAN
TM.protein	O43908	KLRC4	NKG2F_HUMAN
TM.protein	Q99946	PRRT1	PRRT1_HUMAN
TM.protein	P0DTF9	PTTG1IP2	PTIP2_HUMAN
TM.protein	Q8IWR1	TRIM59	TRI59_HUMAN
TM.protein	Q9NP84	TNFRSF12A	TNR12_HUMAN
TM.protein	Q8NEW7	TMIE	TMIE_HUMAN
TM.protein	Q6P2H8	TMEM53	TMM53_HUMAN
TM.protein	Q9Y385	UBE2J1	UB2J1_HUMAN
TM.protein	P50876	RNF144A	R144A_HUMAN
TM.protein	Q6ZWK6	TMPRSS11F	TM11F_HUMAN
TM.protein	O14763	TNFRSF10B	TR10B_HUMAN
TM.protein	Q9NS69	TOMM22	TOM22_HUMAN
TM.protein	Q7RTY8	TMPRSS7	TMPS7_HUMAN
TM.protein	Q9Y320	TMX2	TMX2_HUMAN
TM.protein	O43914	TYROBP	TYOBP_HUMAN
TM.protein	O94826	TOMM70	TOM70_HUMAN
TM.protein	Q7Z6W1	TMCO2	TMCO2_HUMAN
TM.protein	Q96GQ5	RUSF1	RUSF1_HUMAN
TM.protein	Q86YW5	TREML1	TRML1_HUMAN
TM.protein	O14662	STX16	STX16_HUMAN
TM.protein	O15400	STX7	STX7_HUMAN
TM.protein	Q12846	STX4	STX4_HUMAN
TM.protein	O60279	SUSD5	SUSD5_HUMAN
TM.protein	Q9NUV7	SPTLC3	SPTC3_HUMAN
TM.protein	P55808	XG	XG_HUMAN
TM.protein	Q9ULT6	ZNRF3	ZNRF3_HUMAN
TM.protein	P63027	VAMP2	VAMP2_HUMAN
TM.protein	Q9NX94	WBP1L	WBP1L_HUMAN
TM.protein	O95159	ZFPL1	ZFPL1_HUMAN
TM.protein	Q9BWV2	SPATA9	SPAT9_HUMAN
TM.protein	A8MWV9	SMIM34	SM34A_HUMAN
TM.protein	Q8TAV4	STOML3	STML3_HUMAN
TM.protein	Q6PEX7	TEX38	TEX38_HUMAN
TM.protein	Q8IV31	TMEM139	TM139_HUMAN
TM.protein	Q15388	TOMM20	TOM20_HUMAN
TM.protein	Q9BVV7	TIMM21	TIM21_HUMAN
TM.protein	Q9Y279	VSIG4	VSIG4_HUMAN
TM.protein	Q9BX59	TAPBPL	TPSNR_HUMAN
TM.protein	Q96AJ9	VTI1A	VTI1A_HUMAN
